MENSAGEM	Translation	Positive	Negative	EmotionRationale
boa noit	boa noit	2	-1	 boa[1] noit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
boa	boa	2	-1	 boa[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oi nen	oi nen	1	-1	 oi[0] nen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
retrospec base dad períod pass	retrospec base dad períod pass	1	-1	 retrospec[0] base[0] dad[0] períod[0] pass[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vc ja baix lvr	vc ja baix lvr	1	-1	 vc[0] ja[0] baix[0] lvr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aind nao	aind nao	1	-1	 aind[0] nao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
car so pra mim ess fras sao confus oo	car so pra mim ess fras sao confus oo	1	-2	 car[0] so[0] pra[0] mim[0] ess[0] fras[0] sao[0] confus[-1] oo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pra mim est profes fal sobr iss aind	pra mim est profes fal sobr iss aind	1	-1	 pra[0] mim[0] est[0] profes[0] fal[0] sobr[0] iss[0] aind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b ach est cert	b ach est cert	1	-1	 b[0] ach[0] est[0] cert[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
   c ''	   c ''	1	-1	 c[0] ''[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ta confus	ta confus	1	-2	 ta[0] confus[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
   b '' pra mim ta cert tbm	   b '' pra mim ta cert tbm	1	-1	 b[0] ''[0] pra[0] mim[0] ta[0] cert[0] tbm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
d tamb caus final	d tamb caus final	1	-1	 d[0] tamb[0] caus[0] final[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
outr ess fat	outr ess fat	1	-1	 outr[0] ess[0] fat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cra	cra	1	-1	 cra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao pod iss	nao pod iss	1	-1	 nao[0] pod[0] iss[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aqu ta rodan norm	aqu ta rodan norm	1	-1	 aqu[0] ta[0] rodan[0] norm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b c	b c	1	-1	 b[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pod est cert tamb	pod est cert tamb	1	-1	 pod[0] est[0] cert[0] tamb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao est engan	nao est engan	1	-1	 nao[0] est[0] engan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
confus	confus	1	-2	 confus[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
b c	b c	1	-1	 b[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
d	d	1	-1	 d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ess outr ess fat	ess outr ess fat	1	-1	 ess[0] outr[0] ess[0] fat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao entend car	nao entend car	1	-1	 nao[0] entend[0] car[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b c d	b c d	1	-1	 b[0] c[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
entend agor	entend agor	1	-1	 entend[0] agor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c ta cert msm ond vc ach	c ta cert msm ond vc ach	1	-1	 c[0] ta[0] cert[0] msm[0] ond[0] vc[0] ach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tod mund condord	tod mund condord	1	-1	 tod[0] mund[0] condord[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c mand ant	c mand ant	1	-1	 c[0] mand[0] ant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
