ALUNO,MENSAGEM
48,boa noit
50,boa
47,oi nen
48,retrospec base dad períod pass
47,vc ja baix lvr
48,aind nao
50,
56,car so pra mim ess fras sao confus oo
50,pra mim est profes fal sobr iss aind
47,
48,b ach est cert
50,`` c ''
48,ta confus
56,`` b '' pra mim ta cert tbm
48,d tamb caus final
48,outr ess fat
47,cra
47,nao pod iss
47,aqu ta rodan norm
50,b c
48,pod est cert tamb
48,nao est engan
48,confus
48,b c
50,d
48,ess outr ess fat
48,nao entend car
50,b c d
48,entend agor
56,c ta cert msm ond vc ach
48,tod mund condord
50,c mand ant
50,ach linkedin slidesh
50,ach
56,vam
50,viu imag
50,concord
48,concord
50,entend
56,ja respond
56,tbm nao deu boa
48,auxil entrev
48,sobr exam registr nao ach nad
50,aparec alg sobr enferm
56,4min repond ai tim
50,c deu bug agor kkk
47,vc acah qu
48,ja respond
47,pra respond
50,c dão exempl doenç est relacion outr
56,ent car iss to ach mto estranh
56,msm pesquis nao nad muit relacion altern
50,sim
50,tir c
48,sim
50,b d
50,fech
48,melhor acert parc err tud
50,mal ae tim
50,confund nó
50,respond
47,vai renan
47,respond vad
47,viad
47,
56,vc
56,respond
56,d nov
50,respond
56,tbm
50,boxt
47,aee
56,nic
48,fal
50,aaaaaaeee
50,pqp
50,legal
50,agor aquel excel
56,
47,modal
47,
56,modal n
47,esuc
47,to viaj
47,ta cert
47,respond
50,sim
50,fech
50,
50,o/
56,fals
48,opa
50,verdad fals
48,concord fals
50,b fals
56,ach eh verd car
56,deix pra dpoil
48,c nao ta cert ne
56,c fals
47,fals ne
48,suspeit
50,c fals
56,prim part livr mand noss e-mail
50,tenh aqu cadern parâmetr estim estatís med numér
56,diz `` estatis med numer descrev caracteris amostr ''
56,nao popul
50,hmmm
50,verdad
56,fals
47,d corret
47,b ach q tamb
47,algu ai ta lag
47,fp ta baix
48,aqu est
56,d ok
47,digit muit rapi
56,letr b rodrig fal ach eh fals
47,algum letr sa
47,ach b c cert
47,b d**
50,b fal iss pq to pens amostr popul
48,ness est total confus
47,nun vam respond questinari amanh
48,pra ser aul fusã
56,... .. esquec compr esquadr d nov
56,hauhauhuahuahuah
56,rodrigueee emprest regu
50,kkk
56,esquadr
50,fech
50,b tá corret noé
56,qu ach b ta cert
48,vam paintball
47,
47,ach si
47,im
47,sim
48,ach sim
56,coloq b d
50,mesm sej realiz popul tod pod serv pra ter estim
50,uhu
56,vai segur
48,grup ess
47,kxor
48,aqu nao col
56,fals
56,b verd
48,fals
50,b c
47,be
50,`` d '' fals
47,b c
48,b c
50,ach verd
48,nao
48,pes preç
50,kkk
50,hmm
56,ness imag nun mand
50,exempl
