MENSAGEM	Translation	Positive	Negative	EmotionRationale
noite	noite	1	-1	 noite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oi nene	oi nene	1	-1	 oi[0] nene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
retrospectivo basear período passar	retrospectivo basear período passar	1	-1	 retrospectivo[0] basear[0] período[0] passar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vcs ja baixar o lvros	vcs ja baixar o lvros	1	-2	 vcs[0] ja[0] baixar[-1] o[0] lvros[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nao	nao	1	-1	 nao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
caro so pra mim frase sao confuso o	caro so pra mim frase sao confuso o	1	-2	 caro[-1] so[0] pra[0] mim[0] frase[0] sao[0] confuso[0] o[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pra mim o professor falar sobrar	pra mim o professor falar sobrar	1	-1	 pra[0] mim[0] o[0] professor[0] falar[0] sobrar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o b achar certo	o b achar certo	1	-1	 o[0] b[0] achar[0] certo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o c	o c	1	-1	 o[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o o ta confuso	o o ta confuso	1	-1	 o[0] o[0] ta[0] confuso[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b pra mim ta certo tbm	b pra mim ta certo tbm	1	-1	 b[0] pra[0] mim[0] ta[0] certo[0] tbm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o d tambem causar	o d tambem causar	1	-1	 o[0] d[0] tambem[0] causar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
  e outro fator	  e outro fator	1	-1	 e[0] outro[0] fator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cra	cra	1	-1	 cra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao	nao	1	-1	 nao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ta rodano norma	ta rodano norma	1	-1	 ta[0] rodano[0] norma[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b c	b c	1	-1	 b[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o o certo tambem	o o certo tambem	1	-1	 o[0] o[0] certo[0] tambem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao enganar	nao enganar	1	-2	 nao[0] enganar[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
e confuso	e confuso	1	-1	 e[0] confuso[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b c	b c	1	-1	 b[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o d	o d	1	-1	 o[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
e outro fator	e outro fator	1	-1	 e[0] outro[0] fator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao entender caro	nao entender caro	1	-2	 nao[0] entender[0] caro[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
b c e d	b c e d	1	-1	 b[0] c[0] e[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
entender	entender	1	-1	 entender[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o c ta certo msm vc achar	o c ta certo msm vc achar	1	-1	 o[0] c[0] ta[0] certo[0] msm[0] vc[0] achar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mundo condorda	mundo condorda	1	-1	 mundo[0] condorda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o c mandar antar	o c mandar antar	1	-1	 o[0] c[0] mandar[0] antar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achar o linkedin slideshare	achar o linkedin slideshare	1	-1	 achar[0] o[0] linkedin[0] slideshare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o achar	o achar	1	-1	 o[0] achar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o imagem	o imagem	1	-1	 o[0] imagem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
concordar	concordar	1	-1	 concordar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
concordar	concordar	1	-1	 concordar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
