ALUNO;MENSAGEM
48;noite
50;
47;oi nene
48;retrospectivo basear período passar
47;vcs ja baixar o lvros
48;nao
50;
56;caro so pra mim frase sao confuso o
50;pra mim o professor falar sobrar
47;
48;o b achar certo
50;o c
48;o o ta confuso
56;b pra mim ta certo tbm
48;o d tambem causar
48;  e outro fator
47;cra
47;nao
47;ta rodano norma
50;b c
48;o o certo tambem
48;nao enganar
48;e confuso
48;b c
50;o d
48;e outro fator
48;nao entender caro
50;b c e d
48;entender
56;o c ta certo msm vc achar
48;mundo condorda
50;o c mandar antar
50;achar o linkedin slideshare
50;o achar
56;
50;o imagem
50;concordar
48;concordar
50;o o entender
56;ja responder
56;o tbm nao
48;auxiliar entrevisto
48;sobrar exame registro nao achar nado
50;aparecer sobrar enfermagem
56;4min repor ai time
50;o c umar bugada kkk
47;o vcs acaham qu
48;ja responder
47;o pra responder
50;o c o umar doença relacionar outro
56;caro to achar mto estranhar
56;msm pesquisar nao nado relacionar o alternativo
50;
50;tirar o c
48;
50;b e d
50;fechar
48;melhor acertar parcialmente errar
50;ae time
50;confundir nó
50;responder
47;renan
47;responder vado
47;viad
47;o
56;vcs
56;responder
56;d
50;responder
56;tbm
50;boxta
47;aeee
56;nice
48;falar
50;aaaaaaeeee
50;pqp
50;legal
50;excel
56;o   e e
47;modal
47;nosa
56;modal n
47;esuce
47;to viajendo
47;ta certar
47;responder
50;
50;fechar
50;o e e
50;o/
56;o falso
48;opar
50;verdade falso
48;concordar falso
50;b falso
56;achar eh verdadeiro caro
56;deixar pra dpois
48;o c nao ta certo ne
56;c falso
47;e falso ne
48;suspeitar
50;o c falso
56;livrar mandar o e-mail
50;o caderno parâmetro estimativo e estatístico umar medir numérico
56;estatistica umar medir numerica descrever umar caracteristica umar amostrar
56;e nao umar população
50;hmmm
50;verdade
56;e falso
47;d corretar
47;b achar q tambem
47;alguem ai ta lagado
47;fps ta baixar
48;
56;d ok
47;digitar rapio
56;letra b o rodrigar falar achar eh falso
47;algum letra o o sair
47;achar b e c certo
47;b e d
50;o b falar pq to pensar amostrar e população
48;n totalmente confuso
47;nunes responder o questinario amanhar
48;pra o aula fusão
56;o ..... esquecer comprar esquadrar d
56;hauhauhuahuahuaha
56;rodrigueeees emprestar o regua
50;kkk
56;o esquadrar
50;fechar
50;o b tá corretar noé
56;achar o b ta certo
48;o paintball
47;
47;achar si
47;im
47;
48;achar
56;colocar b e d
50;realizar o população servir pra umar estimativo
50;uhu
56;segurar
48;grupar
47;kxorada
48;nao colar
56;o falso
56;b verdadeiro
48;e falso
50;b c
47;be
50;o d falso
47;b e c
48;b e c
50;o e achar verdadeiro
48;nao
48;pesar preço
50;kkk
50;hmm
56;n imagem o nunes mandar
50;
56;o letra c nao ficar falso tbm
56;pq o natural o nado representar o nivel razão e nao intervalar
56;o intervalar mensuração similar o o ordinal o magnitude diferençar entrar valorar o possuir pontar inicial natural o casar ano censitário e o magnitude diferençar entrar o ano o começar
50;humm
50;
48;o intervalar mensuração similar o o ordinal o magnitude diferençar entrar valorar o possuir pontar inicial natural o casar ano censitário e o magnitude diferençar entrar o ano o começar
56;ah bao
56;mandar o msm entrao
48;o b
56;professorar o colega nunes ta copiar olhar feio
50;o e interessante
48;o mundo inteligente
47;b
48;preço nao rodrigar
48;nao achar nado relacionar o
56;"caro nao o preço 0;00"
48;errar achar errar
56;nao pesquisar so falar falar
50;o intervalar predição intervalar valorar derivar estatístico inferencial comer objetivo capturar o preço desconhecer imóvel o população estudar o conceito população definir o item anterior contar suar natureza aleatório esperar amostrar mercar imobiliário intervalo igual entretanto repetir o amostragem infinito vezar certar percentual intervalo construir conter o preço desejar o população o percentual d intervalar predição conter o preço imóvel conhecer comer confiança intervalar
50;o achar
50;falir sobrar intervalar e sobrar razão
48;perguntar
48;mim ta errar enganar o decidir
56;ctrl+f n site e procurar preço
56;o unico site achar relacionar preço á razão
50;
50;vir o
50;escalar razão utilizar o pretender   comparar medir absoluto o comparação proporção útil parir medir variável comer idade preço consumidor volumar vender e render familiar
47;confuso pra pora
56;o pdf professor
56;nao nivel razão ne
50;achar nado sobrar
47;caro pesar entrar
47;pq preço nao entrar
50;b e e
56;pessoa
56;achar o livrar espanhol
56;ahseufhaeusfhau
47;hmmmmmm
47;justar
56;o paginar
47;o
56;pdf
56;el nivel medición razón
56;dem ctrl+f el nivel medición razón
56;comer citar preço e peso
56;nao o livrar ta certar ....... parecer
47;votar o b e e
47;foulda
48;entao beleza
48;b e e
50;fechar
48;responder
47;pronto
47;o
48;ooo
50;o/
50;falto o renan
56;to gente
48;alterar
48;pelar celular complicar manir
50;crer
47;complicar
47;o fórmula
48;o e
48;ouuuu
47;o inicial variância
47;lembrar o
50;nó acesso idade funcionário
47;o variância inicial certar
47;o idade entrar e
50;o desviar padrão
47;alterar
47;o variação entrar valorar
47;o outro idade alterar
48;e
50;vc tá falar desviar padrão variância
47;alterar o
47;variância
56;pqp tava o calcular desviar padrao
56;ah eh so elevar o o quadrar
50;pra mim alterar algum
47;conjuntar o variância umar medir dispersão mostrar o quão distante d conjuntar central médio
47;simples
47;aaa
48;ta estranhar pq o distribuição salário alterar o dividir funcionário pra alterar
48;teoricamente
47;o irar alterar o médio
56;"gente ... o 5;42 o"
56;o-o
48;"o contar 4;8"
47;achar
50;comer o cálculo vcs
47;marcar o
47;fórmula vc passar
48;marcar o
56;exato
47;confiar o irineu
56;
56;"15;2 x"
56;x
56;entao o resultar seriar
47;bora letra o
56;o sentir
56;nao
56;  o
48;
47;si fouda
48;o medir alterar o variante salariar precisar aumentar proporcionalmente o salariar
56;responder letra o
47;bora
48;pra alteração
50;"vc 15;2"
47;rodrigar
56;ja mandar o foto
48;mear logica rodrigar
56;nao viado ahsufhasuehfuase
47;achar
48;vey pensar comigo aumentar o numerar funcionarios alterar o medir idade alterar o distribuição salariar
56;.. o problema achar qto
56;enfim ... bora questao
47;o á lógico o iriar mudar
48;"aumentar membro 4;8 diferençar distribuição salariar kkk cabeca casar"
47;umar diferençar pequeno
47;o seriar justar
50;blz
50;to calcular d
56;o medir quantum
56;pfvr
50;"12;54"
48;"12;54"
47;desviar padrão 2.7
47;mintiiira
48;"o 1;759"
47;o variação
50;"o 1;76"
56;"o 1;76 tbm"
48;"variancia 3;096"
47;
47;
47;c e d
48;c e d
50;tb
50;"3;09598"
56;gente .. excel eh tao lindar ne
56;so resolver
47;voar pai
50;c e d
50;fechar
47;responder
56;tbm
47;to
47;eita min rstantes
47;cade vcs
50;puts vir começar
47;q merda
50;b
50;c
50;achar
47;blz
50;o d o escorar acima médio abaixar
47;caro
47;aparecer o respostar ja
47;sera ruim
50;o
47;v repondeu k
50;b e c
50;puts
47;sera qu problema
50;esperar o nunes
50;to mandar pra o whats entrar
47;ta
47;qualuer o gente falir o prof
50;
48;ooi
47;o ja
48;voces sao rapidos
50;"jhonson 1;667"
50;"oneal 1;52"
50;correger
47;caravc rapido
47;frexe
50;z x-média)/desvio padrão
50;kkkkk
50;dfrexe
48;voce certar d ma oe
50;c
47;oi
47;renan ta bugao
48;oi
50;cair o net maravilhar
56;
56;ihu
50;
50;o c
47;c
48;c
50;responder
48;tambem
47;tambem
48;l
48;e
48;t
48;r
48;o
48;c
